p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
25.0,25.0,25.0,22.0,21.0,19.0,25.0,25.0,15.0,21.0
20.0,20.0,16.0,20.0,10.0,20.0,20.0,19.0,15.0,22.0
21.0,16.0,9.0,14.0,20.0,19.0,19.0,15.0,19.0,15.0
15.0,8.0,9.0,2.0,15.0,16.0,16.0,14.0,15.0,16.0
15.0,14.0,16.0,14.0,13.0,14.0,9.0,14.0,15.0,15.0
15.0,25.0,20.0,25.0,25.0,13.0,22.0,21.0,22.0,25.0
14.0,13.0,16.0,10.0,9.0,14.0,8.0,14.0,14.0,4.0
13.0,19.0,15.0,15.0,14.0,13.0,20.0,16.0,16.0,16.0
20.0,15.0,16.0,16.0,15.0,13.0,16.0,15.0,14.0,16.0
19.0,16.0,19.0,15.0,19.0,19.0,9.0,13.0,19.0,4.0
25.0,25.0,22.0,25.0,21.0,9.0,22.0,13.0,25.0,22.0
19.0,25.0,19.0,15.0,19.0,16.0,15.0,22.0,19.0,20.0
22.0,13.0,13.0,19.0,9.0,14.0,22.0,15.0,19.0,16.0
14.0,14.0,9.0,7.0,14.0,13.0,19.0,9.0,14.0,15.0
13.0,10.0,15.0,4.0,10.0,15.0,10.0,14.0,14.0,13.0
15.0,19.0,15.0,21.0,19.0,19.0,25.0,20.0,19.0,21.0
13.0,13.0,13.0,7.0,8.0,13.0,9.0,13.0,13.0,13.0
8.0,15.0,19.0,15.0,9.0,19.0,19.0,20.0,20.0,16.0
,15.0,13.0,9.0,13.0,,,19.0,19.0,19.0
20.0,14.0,10.0,10.0,16.0,16.0,15.0,19.0,10.0,19.0
19.0,15.0,19.0,20.0,19.0,13.0,20.0,19.0,21.0,20.0
10.0,14.0,14.0,14.0,15.0,14.0,15.0,15.0,14.0,15.0
32.0,32.0,31.0,31.0,9.0,22.0,31.0,31.0,16.0,32.0
25.0,22.0,25.0,25.0,25.0,14.0,25.0,25.0,25.0,22.0
13.0,14.0,14.0,13.0,7.0,4.0,19.0,4.0,13.0,15.0
25.0,21.0,22.0,15.0,22.0,13.0,7.0,21.0,21.0,20.0
31.0,27.0,22.0,27.0,27.0,26.0,27.0,31.0,22.0,28.0
13.0,9.0,10.0,13.0,9.0,8.0,14.0,13.0,9.0,15.0
15.0,15.0,15.0,19.0,9.0,20.0,19.0,10.0,15.0,21.0
19.0,19.0,20.0,4.0,16.0,21.0,,20.0,20.0,19.0
13.0,8.0,13.0,10.0,15.0,9.0,14.0,19.0,14.0,14.0
15.0,13.0,14.0,13.0,7.0,14.0,10.0,15.0,14.0,15.0
9.0,8.0,13.0,9.0,9.0,8.0,8.0,13.0,10.0,2.0
8.0,13.0,10.0,9.0,13.0,4.0,13.0,14.0,9.0,8.0
14.0,13.0,9.0,13.0,15.0,13.0,13.0,13.0,13.0,4.0
15.0,16.0,14.0,14.0,14.0,15.0,16.0,13.0,15.0,13.0
7.0,13.0,7.0,9.0,7.0,8.0,13.0,8.0,7.0,8.0
13.0,13.0,14.0,13.0,8.0,,13.0,4.0,13.0,13.0
9.0,7.0,13.0,13.0,13.0,10.0,7.0,4.0,19.0,10.0
19.0,19.0,25.0,19.0,21.0,13.0,21.0,19.0,19.0,10.0
10.0,3.0,8.0,9.0,7.0,13.0,9.0,7.0,9.0,8.0
16.0,33.0,31.0,32.0,33.0,32.0,33.0,33.0,22.0,32.0
22.0,16.0,15.0,31.0,21.0,15.0,20.0,14.0,19.0,25.0
19.0,20.0,16.0,19.0,15.0,15.0,20.0,20.0,19.0,21.0
16.0,10.0,20.0,20.0,20.0,21.0,13.0,10.0,22.0,25.0
20.0,19.0,16.0,19.0,10.0,8.0,19.0,15.0,19.0,19.0
40.0,13.0,33.0,34.0,28.0,28.0,40.0,31.0,25.0,40.0
4.0,4.0,14.0,14.0,14.0,15.0,14.0,15.0,14.0,8.0
19.0,16.0,19.0,19.0,15.0,16.0,16.0,16.0,8.0,19.0
16.0,15.0,16.0,19.0,19.0,20.0,14.0,15.0,,9.0
19.0,19.0,20.0,13.0,21.0,16.0,19.0,16.0,19.0,15.0
13.0,7.0,13.0,3.0,13.0,9.0,,13.0,13.0,13.0
19.0,15.0,15.0,15.0,15.0,19.0,9.0,13.0,19.0,15.0
14.0,15.0,16.0,16.0,7.0,9.0,15.0,20.0,7.0,14.0
15.0,13.0,16.0,14.0,7.0,15.0,,,9.0,15.0
19.0,13.0,20.0,15.0,19.0,19.0,19.0,19.0,19.0,10.0
10.0,14.0,7.0,10.0,15.0,19.0,4.0,15.0,14.0,10.0
15.0,16.0,15.0,19.0,15.0,19.0,21.0,20.0,19.0,16.0
13.0,13.0,15.0,14.0,13.0,13.0,14.0,14.0,13.0,13.0
20.0,19.0,15.0,19.0,20.0,16.0,15.0,21.0,19.0,15.0
2.0,8.0,7.0,9.0,13.0,10.0,4.0,10.0,8.0,3.0
21.0,21.0,20.0,22.0,19.0,20.0,20.0,19.0,25.0,19.0
20.0,22.0,25.0,16.0,20.0,25.0,20.0,22.0,14.0,19.0
,15.0,19.0,19.0,15.0,13.0,10.0,20.0,16.0,8.0
16.0,20.0,19.0,9.0,16.0,19.0,16.0,4.0,14.0,16.0
19.0,16.0,14.0,19.0,14.0,14.0,16.0,13.0,10.0,14.0
13.0,10.0,10.0,8.0,13.0,13.0,14.0,10.0,13.0,7.0
19.0,20.0,16.0,16.0,19.0,16.0,20.0,19.0,15.0,15.0
8.0,7.0,14.0,9.0,13.0,8.0,13.0,4.0,10.0,10.0
15.0,3.0,14.0,13.0,16.0,9.0,19.0,10.0,19.0,19.0
19.0,15.0,26.0,20.0,19.0,20.0,22.0,20.0,21.0,19.0
15.0,16.0,8.0,9.0,20.0,20.0,19.0,19.0,19.0,19.0
19.0,21.0,10.0,21.0,16.0,21.0,22.0,21.0,22.0,16.0
8.0,9.0,10.0,1.0,1.0,8.0,13.0,9.0,10.0,10.0
32.0,32.0,32.0,33.0,32.0,31.0,34.0,32.0,34.0,34.0
20.0,20.0,21.0,19.0,19.0,21.0,20.0,20.0,19.0,20.0
13.0,16.0,21.0,14.0,14.0,14.0,13.0,13.0,15.0,10.0
7.0,10.0,9.0,1.0,9.0,4.0,10.0,9.0,7.0,13.0
16.0,25.0,20.0,19.0,25.0,9.0,22.0,10.0,25.0,25.0
9.0,16.0,14.0,14.0,3.0,,14.0,14.0,16.0,7.0
13.0,13.0,13.0,13.0,16.0,10.0,10.0,9.0,13.0,14.0
14.0,10.0,10.0,14.0,14.0,13.0,13.0,14.0,16.0,13.0
19.0,21.0,16.0,20.0,21.0,21.0,15.0,10.0,19.0,20.0
20.0,15.0,19.0,19.0,16.0,19.0,10.0,19.0,20.0,19.0
13.0,8.0,13.0,13.0,13.0,14.0,13.0,14.0,9.0,13.0
14.0,15.0,16.0,13.0,14.0,15.0,15.0,16.0,15.0,16.0
19.0,15.0,19.0,20.0,19.0,19.0,16.0,19.0,19.0,19.0
25.0,19.0,19.0,26.0,9.0,10.0,25.0,16.0,25.0,21.0
19.0,19.0,19.0,20.0,20.0,19.0,21.0,19.0,20.0,20.0
19.0,20.0,19.0,19.0,19.0,16.0,20.0,19.0,13.0,19.0
13.0,13.0,8.0,2.0,7.0,7.0,3.0,9.0,8.0,10.0
16.0,10.0,19.0,10.0,14.0,21.0,19.0,15.0,19.0,19.0
25.0,16.0,21.0,19.0,20.0,25.0,21.0,21.0,20.0,16.0
15.0,9.0,13.0,10.0,10.0,10.0,15.0,3.0,16.0,14.0
15.0,16.0,4.0,13.0,14.0,15.0,14.0,16.0,13.0,21.0
19.0,13.0,15.0,19.0,19.0,15.0,15.0,15.0,15.0,14.0
19.0,19.0,20.0,15.0,19.0,15.0,19.0,20.0,20.0,19.0
1.0,7.0,9.0,9.0,13.0,9.0,9.0,13.0,1.0,9.0
13.0,13.0,10.0,10.0,19.0,9.0,9.0,13.0,13.0,7.0
7.0,4.0,9.0,8.0,9.0,8.0,9.0,8.0,4.0,13.0
